indicator,lag,f_stat,f_pvalue,chi2_stat,chi2_pvalue,n,significant_005,significant_010
Auto Production,1,2.2060519091111015,0.1466838460789465,2.4007035481503163,0.12128069509152373,38,False,False
Auto Production,2,1.577760537781007,0.22256766379822598,3.664476087749436,0.16005495661583163,38,False,False
Auto Production,3,1.5945271780675914,0.21292211253486176,5.979476917753467,0.11261299805989872,38,False,False
Auto Production,4,1.5277113094696242,0.22456115374707578,8.310749523514756,0.08083583185218315,38,False,False
Auto Sales,1,3.5546705747223544,0.06794710944272205,3.8683179783743267,0.04920581115018941,38,False,True
Auto Sales,2,1.9149174946560983,0.16438390455356625,4.447550310169003,0.10819986555998799,38,False,False
Auto Sales,3,1.4086179311970999,0.26100672031753014,5.2823172419891256,0.1522539225212355,38,False,False
Auto Sales,4,1.092866314454316,0.38160146703115533,5.945192750631479,0.20327887066272882,38,False,False
Housing Starts,1,3.659946879911449,0.0641873844226887,3.982883369315401,0.04596481676012845,38,False,True
Housing Starts,2,3.6384041730665637,0.0380717317012235,8.45048711163847,0.014621773057965535,38,True,True
Housing Starts,3,2.8478624163578035,0.05542191336117908,10.679484061341762,0.013591499312104818,38,False,True
Housing Starts,4,1.99923561719293,0.125479274982675,10.87584175752954,0.02799539530604376,38,False,False
ISM PMI,1,2.766533694262592,0.105446817369062,3.010639608462233,0.08271964467121146,38,False,False
ISM PMI,2,2.073286747994164,0.14286304089498295,4.81537567276064,0.09002320249479112,38,False,False
ISM PMI,3,2.4862350915045273,0.081140522060139,9.323381593141976,0.02528645016686627,38,False,True
ISM PMI,4,1.1606204471936772,0.35178060377841686,6.313775232733604,0.17690878977117622,38,False,False
WTI Crude,1,16.896873565361723,0.00023558927509490706,18.387774174070113,1.8021055987777893e-05,38,True,True
WTI Crude,2,6.974821448863164,0.0031539110740407108,16.19958530058541,0.00030360208335591655,38,True,True
WTI Crude,3,5.908994386211176,0.0029528733668089144,22.15872894829191,6.045374159048891e-05,38,True,True
WTI Crude,4,3.7824245585567886,0.015408900077081643,20.57638959854893,0.0003841654158561507,38,True,True
Rig Count,1,0.04841720606034281,0.8271565579294469,0.05268931247743188,0.8184480484570309,38,False,False
Rig Count,2,0.67487238457785,0.516544744082066,1.5674455383743615,0.4567026441198023,38,False,False
Rig Count,3,2.9137359787989863,0.05174299874419216,10.926509920496198,0.012129974550393413,38,False,True
Rig Count,4,1.618436197938796,0.2007685059876128,8.80429291678705,0.06618177927198268,38,False,False
Scrap PPI,1,17.795767320990496,0.00017236153880884194,19.3659820846073,1.079123019019859e-05,38,True,True
Scrap PPI,2,6.399180988550604,0.004715299598101895,14.862613908891728,0.0005924127492515004,38,True,True
Scrap PPI,3,4.302289625698233,0.012885143274542089,16.133586096368376,0.001064666212314463,38,True,True
Scrap PPI,4,4.982827082338705,0.0042982570856738836,27.106579327922557,1.8916564292115334e-05,38,True,True
Industrial Production,1,0.17888531558816104,0.6749961738272741,0.19466931402241053,0.6590584724075845,38,False,False
Industrial Production,2,1.5672842792218717,0.22469467260117174,3.6401441323862826,0.16201407477555327,38,False,False
Industrial Production,3,1.850719228217082,0.16093938318444045,6.940197105814057,0.0738285190189039,38,False,False
Industrial Production,4,1.490077249839857,0.23522511297870716,8.10602023912882,0.0877708366105905,38,False,False
Mfg Industrial Prod,1,0.015414864498180357,0.9019224013803336,0.016774999600960978,0.8969475163841722,38,False,False
Mfg Industrial Prod,2,1.5119384054495566,0.23629655861990254,3.5115988771731637,0.17276906880829504,38,False,False
Mfg Industrial Prod,3,1.8379753005651225,0.16319000280760784,6.892407377119209,0.07540733964516036,38,False,False
Mfg Industrial Prod,4,1.5098737698059808,0.22955526940372614,8.213713307744536,0.08405595464646903,38,False,False
Non-Res Construction,1,0.3037193621396052,0.5851637324583762,0.3305181293872174,0.565354153888431,38,False,False
Non-Res Construction,2,2.123244985020122,0.13671312322102058,4.931407707143509,0.08494902964653492,38,False,False
Non-Res Construction,3,1.0595807550580099,0.38195380635519216,3.973427831467537,0.2643477767384888,38,False,False
Non-Res Construction,4,1.273795146286932,0.3066721440169204,6.929445595800909,0.13966401007716808,38,False,False
Durable Goods Orders,1,4.738715050277273,0.036528926780403266,5.15683696647821,0.02315503003028325,38,True,True
Durable Goods Orders,2,7.405318179406852,0.0023503266370179694,17.199448674751398,0.00018415655174954218,38,True,True
Durable Goods Orders,3,4.151474751617521,0.014904916186482752,15.568030318565704,0.0013902852698890764,38,True,True
Durable Goods Orders,4,3.6528482432098173,0.017804417116345544,19.871494443061405,0.000529429663881088,38,True,True
Building Permits,1,5.1526106187518526,0.029668030894871935,5.607252732171133,0.017886284093919007,38,True,True
Building Permits,2,2.102896949393985,0.1391832746670024,4.884147753431192,0.08698027790998528,38,False,False
Building Permits,3,1.6425835720332231,0.20201251219431993,6.159688395124586,0.10409429831522861,38,False,False
Building Permits,4,1.7983067189657178,0.16075901641300613,9.782788551173505,0.04424992569131577,38,False,False
Real GDP,1,1.9002194114329658,0.17705726596331134,2.0678858300888154,0.15042992740842293,38,False,False
Real GDP,2,3.319757544377319,0.04938828528858327,7.7104046191989335,0.021169320120191425,38,True,True
Real GDP,3,1.9084389131185824,0.15113731399653563,7.1566459241946845,0.06706903638297292,38,False,False
Real GDP,4,1.841709208139837,0.1523700242802669,10.018898092280715,0.040110546484404826,38,False,False
Steel Capacity Util,1,1.443921149268571,0.23780926581998243,1.5713259565569744,0.21001455713478787,38,False,False
Steel Capacity Util,2,3.2350982223280775,0.05296313937464047,7.5137765163748895,0.023356306207888408,38,False,True
Steel Capacity Util,3,2.620650596758796,0.07036454986578455,9.827439737845486,0.02009137627409191,38,False,True
Steel Capacity Util,4,1.4723226196673695,0.24042622489948823,8.00943505099049,0.09123318725249392,38,False,False
Steel Import Price,1,12.360385991470967,0.0012649411722336812,13.451008284836051,0.00024487454300463313,38,True,True
Steel Import Price,2,10.251161703198509,0.0003826401329106767,23.809149762267506,6.7594104643114175e-06,38,True,True
Steel Import Price,3,6.5487245279393145,0.0017049009555378221,24.557716979772426,1.9103203662317652e-05,38,True,True
Steel Import Price,4,4.07984157309196,0.011114594283273282,22.19433815762026,0.00018333460831045987,38,True,True
Trade Balance (Goods),1,9.362997608365491,0.0043011109236224376,10.189144456162447,0.0014126984473240385,38,True,True
Trade Balance (Goods),2,3.18747496855622,0.05509429759415181,7.40316766890477,0.024684399490839566,38,False,True
Trade Balance (Goods),3,2.092048981003668,0.12384543500740886,7.845183678763756,0.049322032082947595,38,False,False
Trade Balance (Goods),4,1.5911851545249693,0.20764078856953394,8.656047240615834,0.07029579803636131,38,False,False
