lag_quarters,n,r_revenue,p_revenue,rho_revenue,r_ebitda,p_ebitda,indicator
0,40,-0.5868795074842906,6.88184599036872e-05,-0.5831144465290808,-0.4624451168275069,0.0026612836733131196,Auto Production
1,40,-0.6176970356453556,2.1729331807529902e-05,-0.6084427767354598,-0.49536644121719575,0.0011541026050929054,Auto Production
2,40,-0.6227838019371846,1.7752299411825657e-05,-0.6116322701688557,-0.48414081731036174,0.0015488632963774854,Auto Production
3,40,-0.6586887413997665,3.8255685640980154e-06,-0.6848030018761727,-0.4772770047548032,0.0018451814706013357,Auto Production
4,40,-0.6885731140439089,9.047877268056637e-07,-0.7221388367729833,-0.49173246794368775,0.0012708076351242198,Auto Production
0,40,-0.5448881671512056,0.0002775536608299518,-0.5393996247654785,-0.4884867490100131,0.0013837572426896804,Auto Sales
1,40,-0.45706719439662197,0.0030272540056389867,-0.5150093808630395,-0.331911015362218,0.036407316253934,Auto Sales
2,40,-0.4655838304686057,0.00246613455818066,-0.500187617260788,-0.29282253320657164,0.06670279519744897,Auto Sales
3,40,-0.5483950426770732,0.000248778764826687,-0.5572232645403378,-0.3148173084344481,0.04786404434977258,Auto Sales
4,40,-0.5726229342434842,0.00011286669845544718,-0.5941838649155723,-0.345182544637251,0.029150855372654664,Auto Sales
0,40,0.6866006407345527,1.0002969260696819e-06,0.6223264540337712,0.6945745500530345,6.634946871178501e-07,Housing Starts
1,40,0.7533096551380227,2.034654692722686e-08,0.6947467166979362,0.7027458091300717,4.2968433703967664e-07,Housing Starts
2,40,0.7727097198801908,5.167388906972784e-09,0.7273921200750469,0.6635744364679131,3.0556675309607577e-06,Housing Starts
3,40,0.7308590735844299,8.568828357205986e-08,0.6797373358348969,0.6028116256994659,3.849016271483781e-05,Housing Starts
4,40,0.688609425936574,9.031111643455183e-07,0.6589118198874298,0.5129653132269756,0.0007128415741020233,Housing Starts
0,40,0.1875212272215557,0.24658061843285253,0.10976639507918198,0.46777971848337974,0.0023371846758213793,ISM PMI
1,40,0.3559927171378195,0.024162997685844817,0.29937142452792287,0.558969720333411,0.00017752180486446548,ISM PMI
2,40,0.4537430744409053,0.003274857859076895,0.40744910583665583,0.5739818150062875,0.00010777376491851857,ISM PMI
3,40,0.422358133180904,0.006630428513631494,0.365307941674922,0.46223153198745864,0.0026750421610338897,ISM PMI
4,40,0.3018560341612811,0.05835923504087597,0.2734649845871591,0.24612096781174694,0.12579324529179664,ISM PMI
