year,hs_code,product,weight_mt,value_usd,unit_value
2023,7211,HRC_flat_narrow,310936.787,369568154.0,1188.5636227404639
2023,7212,Coated_flat_narrow,150782.541,259431288.0,1720.5658312920991
2023,7304,Tube_seamless,1810496.6711819998,5216521769.0,2881.2655952547784
2023,7305,Tube_large_welded,324290.702,582709658.0,1796.874392038536
2023,7306,Tube_other_welded,3085664.092444,5368905050.0,1739.9512355045617
2024,7208,HRC_flat_wide,2753484.814,2431079947.0,882.910243281262
2024,7209,CRC_flat_wide,1260445.949,1286585943.0,1020.7386869867278
2024,7210,Coated_flat_wide,4600231.077524,6152824388.0,1337.5033306613063
2024,7211,HRC_flat_narrow,306895.408,347945443.0,1133.7590394966091
2024,7212,Coated_flat_narrow,222664.826,308386040.0,1384.9786943897461
2024,7304,Tube_seamless,1157536.045978,3125358756.0,2700.0098760288633
2024,7305,Tube_large_welded,404516.782,801656271.0,1981.7627022455647
2024,7306,Tube_other_welded,2871312.1043260004,4130488011.0,1438.5367598238065
