iteration,uss_enterprise_value,uss_share_price,nippon_enterprise_value,nippon_share_price,total_fcf_10y,avg_ebitda,avg_ebitda_margin,terminal_ebitda,margin_factor,capex_factor,effective_tariff_rate,tariff_adjustment_hrc
1668,7534.390198980613,27.415067551024947,10532.481174972447,40.73991633321087,7203.259174197411,1780.0671032987386,0.1135103297788839,2201.8844107566506,0.882011083211198,1.025415590298233,0.16834684607258987,0.9510081076435539
1669,14832.509186392937,59.851151939524165,20165.54226171265,83.55352116316733,15045.079032306056,2998.544752818995,0.17318773802879806,3402.0843572062745,1.0759086126817006,1.1224146667256476,0.25,1.0
1670,15360.24481294219,62.1966436130764,20774.858338820464,86.26159261697984,14695.137560259092,2832.251468610633,0.155976271870226,3551.384329459742,0.9373603799889919,1.0564570554078936,0.25,1.0
1671,9596.782219351646,36.58125430822954,13550.961972128294,54.15538654279242,7865.136290351314,2063.625194698974,0.14307225802916282,2547.0346895180032,1.133975559919995,0.9474126340237052,0.25,1.0
1672,7120.784597822599,25.576820434767104,10024.930509324902,38.484135596999565,7114.1446589141615,1838.023385240327,0.12525825060254472,2045.8018653608262,0.9842619928001315,1.148916254095353,0.25,1.0
1673,9759.93608504549,37.30638260020218,13670.737629692887,54.68772279863505,9632.420262936916,2141.210123263042,0.14186589651099626,2314.7706312952087,0.9822166599192451,1.0272726522115858,0.25,1.0
1674,18287.06462300535,75.20473165780156,25042.301931005342,105.22800858224596,16996.02737083413,3314.3003309629144,0.17210102320346668,3754.5172514054725,1.059450944983126,0.8523395518272949,0.25,1.0
1675,29442.552754310727,124.78467890804768,38454.75007569429,164.83888922530795,32142.874860186163,5299.156732749641,0.24522215268057332,5929.150339568013,1.0991348582224791,0.9827355712751239,0.25,1.0
1676,10896.317239659771,42.356965509598986,15529.91651696719,62.95074007540973,10767.81502909995,2265.628206285098,0.1421347612522845,2732.9653047239794,0.9264645352102279,1.246031867214391,0.25,1.0
1677,11362.254117699538,44.42779607866461,15379.132530107712,62.280589022700944,11342.12115043111,2459.153394834631,0.1486912410916515,2860.13140352041,1.0303879916786214,1.1035134497812988,0.25,1.0
1678,19292.004051961198,79.67112911982754,26450.120484173418,111.48497992965963,19177.08049364396,3503.8735247207464,0.1822199218423583,4280.536934022533,1.005509441307277,1.066625963482747,0.25,1.0
1679,20059.16144759393,83.08071754486191,27433.461584111865,115.85538481827496,20766.68519615493,3789.390083210837,0.18608238872395472,4543.308692797041,1.0234191021408705,1.0295248596408242,0.25,1.0
1680,17450.99614604628,71.48887176020568,23899.122053449664,100.14720912644295,18193.26343035499,3374.203875087257,0.17294920851270043,4068.1125614027756,0.9751089820563088,1.2075486574391379,0.25,1.0
1681,22359.98298316741,93.30659103629961,29969.110392200088,127.12493507644483,20921.35493982684,3730.603923973082,0.19838163106816803,4349.635442445139,1.0241140539447608,0.8439142714066581,0.25,1.0
1682,11436.98229654517,44.75992131797853,15738.995691522536,63.87998085121127,11493.848284711668,2392.6670777816607,0.14656876971463798,2546.385667319192,0.9344784670955188,1.0706109577906746,0.25,1.0
1683,10408.925050454713,40.19077800202094,14198.236360363915,57.0321616016174,10801.678598938572,2370.1749500549295,0.1447301200455953,2651.1396451293567,0.9985959622995411,1.0578710069206443,0.25,1.0
1684,15692.572551729434,63.67365578546415,21409.78246277971,89.08347761235426,15320.48448864062,3091.5200594233575,0.16776314499197933,3712.669822906349,1.081507995033804,1.031160594468561,0.25,1.0
1685,2405.9981238658133,4.622213883848059,3499.1730393607177,9.480769063825411,1916.5999523823293,1008.4539862809871,0.08502492239598688,924.4620661316593,0.8863952087684636,1.0253807665383823,0.21453249293869892,0.9787194957632194
1686,14405.281952694851,57.95236423419934,19757.960635082152,81.7420472670318,14364.250781786723,2934.3678555728643,0.16414640100101738,3568.3626783445116,1.0522509132031477,1.0899699425194223,0.25,1.0
1687,6239.457597797277,21.659811545765677,8796.896130830122,33.02620502591166,5564.8458804342,1629.1074973229938,0.12029744955901177,1898.4473784019835,1.01621132422001,1.1563807271175781,0.25,1.0
1688,17983.997126229307,73.85776500546359,24073.76505360466,100.92340023824293,19534.041698639365,3581.9739854925388,0.1757045903290948,4020.151479868552,0.9854867284071436,1.1081183274641238,0.25,1.0
1689,14609.275850972814,58.8590037821014,19949.730234499537,82.59435659777571,14470.636493328813,2904.384375888787,0.16110433600100704,3176.4905652809302,1.0128800871186712,1.1581442850411467,0.25,1.0
1690,13248.690064959892,52.81195584426619,18531.91234913836,76.29294377394828,12451.249802113025,2691.00204756254,0.15437119601133203,3620.423547442107,1.0655252215007438,1.033035829207636,0.25,1.0
1691,12226.366462788255,48.268295390170024,17000.88525982662,69.48837893256275,11495.901849952845,2367.70755440032,0.14325702243082664,3054.5164800862754,0.9194402622908238,0.9974492330299309,0.25,1.0
1692,9030.740050282933,34.065511334590816,12201.002935669405,48.15556860297513,8444.55776978328,1914.3052914244433,0.1244963239130436,2048.2385031498907,0.887556179016177,0.966788023361189,0.25,1.0
1693,7489.317555027791,27.214744689012406,10345.084382582896,39.907041700368424,7162.399991738018,1820.8036146350728,0.1331550254161288,1836.8454690564784,1.0025336516540913,1.1304957314837507,0.25,1.0
1694,3528.199679508504,9.609776353371128,5039.123607405608,16.32499381069159,2735.9013747625872,1160.5235038499732,0.09577315997509835,1245.9739716688641,0.9333615428104246,0.9892648629318813,0.11088831859775305,0.9165329911586518
1695,19156.34639088023,79.0682061816899,26918.034153053602,113.56459623579379,17616.476465270334,3204.9744676402047,0.17335626119315814,4323.99703048929,0.9451979498835402,0.9061841312859349,0.25,1.0
